Job Title,Company,Location,Salary,Requirements,Years of Experience,Tags,Link
Senior Analyst-Data Science,Accenture,Gurgaon/Gurugram,Not disclosed,Skill required: Data Science - Predictive Modeling and Analytics Designation: Senior An...,5-8 Yrs,_Publishing_Consulting_Predictive modeling_Data mining_Analytics_IT Skills_Data Science_Machine Learning,https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-gurgaon-gurugram-5-to-8-years-171122907232
Delivery Head - Analytics & Data Science,Okda Solutions,Gurgaon/Gurugram,Not disclosed,"10+ years of experience in the delivery of Analytics, data science and machine learning...",8-13 Yrs,_Data Science_Analytics_analytical_machine learning_communication_Sales_calling_analytical skills,https://www.naukri.com/job-listings-delivery-head-analytics-data-science-okda-solutions-gurgaon-gurugram-8-to-13-years-291122913252
Chief Data Science Role - Bank,Dimensions HRD Consultants,"Mumbai, Gurgaon/Gurugram",Not disclosed,Graduate / Post Graduate in Statistics / Economics / Engineering from premier college /...,12-16 Yrs,_Data Modeling_Data Analytics_Analytics_Consulting - BFSI_Data Management_Big Data_Data Mining_Statistics,https://www.naukri.com/job-listings-chief-data-science-role-bank-dimensions-hrd-consultants-mumbai-gurgaon-gurugram-12-to-16-years-291122912158
Associate Vice President - Data Science - KPO,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,Not disclosed,Role & Responsibilities Overview :- Expected to work in close collaboration with the Cl...,7-12 Yrs,_Data Science_Competitor analysis_Ad hoc data analysis_GLM_Data Analytics_Analytics_Python,https://www.naukri.com/job-listings-associate-vice-president-data-science-kpo-huquo-consulting-pvt-ltd-gurgaon-gurugram-7-to-12-years-291122905825
Data Science Professional,CliqHR Recruitment Services,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR",Not disclosed,Skills Required-Required Skills:Experience of 3-8 years in Data Analytics and a mandato...,3-8 Yrs,_Data Science_Ski_Data Analytics_Numpy_analytical_PowerPoint_Azure_communication,https://www.naukri.com/job-listings-data-science-professional-cliqhr-recruitment-services-mumbai-hyderabad-secunderabad-pune-chennai-delhi-ncr-3-to-8-years-291122904889
Data Science Lead,CliqHR Recruitment Services,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR",Not disclosed,Required Experience: Minimum 5+ years of hands on experience using statistical computer...,5-10 Yrs,_Data Science_analytical_R_written_data mining_verbal communication_Python_machine learning,https://www.naukri.com/job-listings-data-science-lead-cliqhr-recruitment-services-mumbai-hyderabad-secunderabad-pune-chennai-delhi-ncr-5-to-10-years-261122905540
Delivery Head - Analytics & Data Science,Okda Solutions,Gurgaon/Gurugram,Not disclosed,"10+ years of experience in the delivery of Analytics, data science and machine learning...",8-13 Yrs,_Analytics_machine learning_communication_analytical_data science_Delivery Management,https://www.naukri.com/job-listings-delivery-head-analytics-data-science-okda-solutions-gurgaon-gurugram-8-to-13-years-251122904495
Hiring For Senior / Lead Data Scientist - Data Science,Tiger Analytics,Permanent Remote,Not disclosed,"A passion for writing high-quality code (Python) and the code should be modular, scalab...",5-10 Yrs,_Data Science_Machine Learning_PowerPoint_SQL_Python_Excel_R_Artificial Intelligence,https://www.naukri.com/job-listings-hiring-for-senior-lead-data-scientist-data-science-tiger-analytics-chennai-5-to-10-years-291122005769
Data Science Lead - Forecasting,Cargill,Bangalore/Bengaluru,Not disclosed,"Bachelor s degree in Computer science, Statistics, Math OR related field OR Equivalent ...",5-7 Yrs,_Data Science_Data analysis_Machine learning_Javascript_Workflow_Regression analysis_Forecasting_Monitoring,https://www.naukri.com/job-listings-data-science-lead-forecasting-cargill-india-pvt-ltd-bangalore-bengaluru-5-to-7-years-291122915436
ACN - Applied Intelligence - Finance - Data Science - 09,Accenture,Bangalore/Bengaluru,Not disclosed,The ideal candidate should have a strong client-facing consulting background in data sc...,3-5 Yrs,_Computer science_Data analysis_Healthcare_SDK_Analytics_Publishing_Analytical_Machine learning,https://www.naukri.com/job-listings-acn-applied-intelligence-finance-data-science-09-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-251122911193
Data Science Trainer,Patch The Skill,Bangalore/Bengaluru,Not disclosed,Trainer must be ready for 8 Hours daily Data Science Training with required gapsTrainin...,1-6 Yrs,_Data Science_Data Engineering_Big Data_Data Analytics_Machine Learning_Excel_D_Artificial Intelligence,https://www.naukri.com/job-listings-data-science-trainer-patch-the-skill-bangalore-bengaluru-1-to-6-years-211122010550
Manager Data Science,Jio,Mumbai,Not disclosed,Maximum 5 Years & above,5-8 Yrs,_Report generation_Data management_Machine learning_Data structures_Business modeling_Mobile applications_Data warehousing_Predictive analytics,https://www.naukri.com/job-listings-manager-data-science-reliance-jio-infocomm-ltd-mumbai-5-to-8-years-021222501729
"Senior Manager, Data Science & ML Platform",Oportun,Remote,Not disclosed,1 years of experience building and managing high performing data science teams includin...,7-12 Yrs,_Administration_Direct marketing_Project management_Intellectual property_Project planning_Risk management_Digital marketing_Analytics,https://www.naukri.com/job-listings-senior-manager-data-science-ml-platform-oportun-inc-remote-7-to-12-years-021222502756
Associate Director - Data Science,Saaki Argus And Averil Consulting,"Hybrid - Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",Not disclosed,"Proven experience of getting machine learning assets into production, including UAT tes...",10-13 Yrs,_scala_Python_Machine Learning_artificial intelligence,https://www.naukri.com/job-listings-associate-director-data-science-saaki-argus-and-averil-consulting-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-mumbai-all-areas-10-to-13-years-301122006098
Data Science Analyst,EY Global Delivery Services India Llp,"Hybrid - Gurgaon/Gurugram, Bangalore/Bengaluru",Not disclosed,Manager Data ScienceData and Analytics team is a multi-disciplinary technology team del...,8-12 Yrs,_FMCG Marketing_Retail Analytics_Internet_machine learning_Data Analytics_Retail_data analysis_Data science analyst,https://www.naukri.com/job-listings-data-science-analyst-ey-global-delivery-services-india-llp-gurgaon-gurugram-bangalore-bengaluru-8-to-12-years-091122005338
Senior Business Intelligence Analyst - Data Science and Intelligence,Nippon Life India Asset Management Limited,"Mumbai Suburban, Thane, Navi Mumbai, Mumbai (All Areas)","8,00,000 - 12,00,000 PA.","Bachelors degree in Computer Science, a related technical field, or equivalent practica...",7-12 Yrs,_data analysis_data science_business intelligence tools_python_data modeling_Data Architecture_artificial intelligence_sql,https://www.naukri.com/job-listings-senior-business-intelligence-analyst-data-science-and-intelligence-nippon-life-india-asset-management-limited-mumbai-suburban-thane-navi-mumbai-mumbai-all-areas-7-to-12-years-171122012301
Job Opening For Data Science Manager @ GlobalData(Hyd),Globaldata,Temp. WFH - Hyderabad/Secunderabad(Kondapur),Not disclosed,"Hello, Hope you are doing good.Urgent job openings for Data Science Manager @ GlobalDat...",10-15 Yrs,_Text Analytics_machine learning_deep learning_NLP_data science_python_caffe_reinforcement learning,https://www.naukri.com/job-listings-opening-for-data-science-manager-globaldata-hyd-globaldata-hyderabad-secunderabad-10-to-15-years-150922001821
Data Science & Analytics,V Konnect ,Mumbai,Not disclosed,The role is expected to use analytical tools to identify opportunities to grow overall ...,15-18 Yrs,_advanced analytics_Regulatory reporting_Underwriting_Analytical_Business analytics_Artificial Intelligence_Machine learning_Business strategy,https://www.naukri.com/job-listings-data-science-analytics-v-konnect-associates-mumbai-15-to-18-years-171122500887
Lead / Team Lead - Data Science - R/ Python/ Hive/ Spark,Info Corporate Service,Mumbai,Not disclosed,Experience creating and using advanced machine learning algorithms and statistics: regr...,4-8 Yrs,_Data Science_R_Python_CNN_SDE_Keras_LSTM_ggplot2,https://www.naukri.com/job-listings-lead-team-lead-data-science-r-python-hive-spark-info-corporate-service-mumbai-4-to-8-years-211122907746
Urgently looking For Data Science/ BI Analytics - Top Brand - Mumbai,Smart Source,Hybrid - Mumbai (All Areas),Not disclosed,"Experience in creating reports, dashboards, and stories in Tableau Good analytical unde...",4-9 Yrs,_Data Science_Predictive Modeling_R_python_BI_neural networks_segmentation_logistic regression,https://www.naukri.com/job-listings-urgently-looking-for-data-science-bi-analytics-top-brand-mumbai-smart-source-mumbai-all-areas-4-to-9-years-241122006379
Head - Data Science & Analytics - Bank,Dimensions HRD Consultants,Gurgaon/Gurugram,Not disclosed,Graduate / Post Graduate in Statistics / Economics / Engineering from premier college /...,12-16 Yrs,_Data Science_Data Management_Analytics_Big Data_Data Mining_Data Modeling_Machine Learning,https://www.naukri.com/job-listings-head-data-science-analytics-bank-dimensions-hrd-consultants-gurgaon-gurugram-12-to-16-years-211122905301
Data Science Professional,GHARONDAA ADVISORS PVT LTD,Noida,Not disclosed,"Good coding skills in front end, back end and other data layersExperience with CI / CD ...",5-10 Yrs,_Data Science_deep learning_algorithms_front end_AI/ML_CI/CD_artificial intelligence,https://www.naukri.com/job-listings-data-science-professional-gharondaa-advisors-pvt-ltd-noida-5-to-10-years-011222912499
Lead- Data Science,Jardine Lloyd Thompson,Pune,Not disclosed,Source data from disparate systems with good understanding of Qlik/ other BI tool archi...,3-6 Yrs,_Payroll_Claims_data science_Coding_SSRS_Stored procedures_Risk management_Apache,https://www.naukri.com/job-listings-lead-data-science-jardine-lloyd-thompson-india-pvt-ltd-pune-3-to-6-years-011222501565
Data Science,GHARONDAA ADVISORS PVT LTD,Noida,Not disclosed,Skillset Required : Implementing end to end data pipelines for serving reporting and da...,5-10 Yrs,_Data Science_communication_CI / CD_CD_CI_AI_Order to Cash_Deep Learning,https://www.naukri.com/job-listings-data-science-gharondaa-advisors-pvt-ltd-noida-5-to-10-years-021222909628
Data Science Architect - ML / Data Mining,HyrEzy Talent Solutions,Gurgaon/Gurugram,Not disclosed,"Job Role - Data Science ArchitectResponsibilities :- Analyze raw data, assessing qualit...",5-10 Yrs,_Data Science_Power BI_Teradata_Data mining_Machine Learning_Deep Learning_Hortonworks_MapReduce,https://www.naukri.com/job-listings-data-science-architect-ml-data-mining-hyrezy-talent-solutions-gurgaon-gurugram-5-to-10-years-311022903019
Data Science Professional,Infosys,Bangalore/Bengaluru,Not disclosed,Bachelor of Engineering Good verbal & written communication skills articulate value of ...,4-8 Yrs,_Data Science_Bigdata_Azure_written communication_Artificial Intelligence_GCP_>NLP Deep Learning_R,https://www.naukri.com/job-listings-data-science-professional-infosys-limited-bangalore-bengaluru-4-to-8-years-171122914168
ACN - Applied Intelligence - Finance - Data Science - 09,Accenture,Bangalore/Bengaluru,Not disclosed,Preferred Educational Background PhD / Masters / Bachelors degree in Statistics / Econo...,3-5 Yrs,_Data analysis_Machine learning_Healthcare_SDK_Analytics_Publishing_Analytical_Vulnerability assessment,https://www.naukri.com/job-listings-acn-applied-intelligence-finance-data-science-09-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-221122905706
Manager Data Science,Visa,Bangalore/Bengaluru,Not disclosed,"Experience planning, organizing, and managing multiple large projects with diverse cros...",6-11 Yrs,_Automation_SAS_Campaign management_Risk analytics_Analytical_Consulting_Market intelligence_Business intelligence,https://www.naukri.com/job-listings-manager-data-science-visa-inc-bangalore-bengaluru-6-to-11-years-241122501198
"Assistant Manager - Data Science, Need Immediate Joiners",Citiustech,"Hybrid - Pune, Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)",Not disclosed,"Work with OMICs, image, med device and RWE data to power various use cases in the areas...",5-10 Yrs,_Data Science_NLP_Machine Learning_Python_Analytical_Data Modelling_R_Model Building,https://www.naukri.com/job-listings-assistant-manager-data-science-need-immediate-joiners-citiustech-pune-gurgaon-gurugram-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-010822004921
Senior Data Analyst - Data Science and Intelligence,Nippon Life India Asset Management Limited,"Mumbai Suburban, Thane, Navi Mumbai, Mumbai (All Areas)","12,00,000 - 20,00,000 PA.","Bachelors degree in Computer Science, a related technical field, or equivalent practica...",7-12 Yrs,_data science_python_data analysis_scala_sql,https://www.naukri.com/job-listings-senior-data-analyst-data-science-and-intelligence-nippon-life-india-asset-management-limited-mumbai-suburban-thane-navi-mumbai-mumbai-all-areas-7-to-12-years-171122011669
Data Science Trainee,Medtoureasy,Remote,Not disclosed,This program will help anyone interested in pursuing a career in data science or machin...,0-1 Yrs,_Data analysis_PDF_data science_Machine learning_Healthcare_data visualization_Budgeting_industrial training,https://www.naukri.com/job-listings-data-science-trainee-medtoureasy-remote-0-to-1-years-211122500264
Senior Analyst & AI Lead - Data Science,Huquo Consulting Pvt. Ltd,"Faridabad, Gurgaon/Gurugram",Not disclosed,in Computer scienceInformation Technology ECE or other quantitative disciplines from ti...,10-15 Yrs,_Data Science_R_Artificial Intelligence_Machine Learning_Deep Learning,https://www.naukri.com/job-listings-senior-analyst-ai-lead-data-science-huquo-consulting-pvt-ltd-faridabad-gurgaon-gurugram-10-to-15-years-181122910051
Senior Analyst & AI Lead - Data Science,Huquo Consulting Pvt. Ltd,"Faridabad, Gurgaon/Gurugram",Not disclosed,in Computer scienceInformation Technology ECE or other quantitative disciplines from ti...,2-7 Yrs,_Data Science_R_Artificial Intelligence_Machine Learning_Deep Learning,https://www.naukri.com/job-listings-senior-analyst-ai-lead-data-science-huquo-consulting-pvt-ltd-faridabad-gurgaon-gurugram-2-to-7-years-181122910046
"Software Trainees in Data Science, Data Analytics, .Net, Java, J2EE",MagicBase Royal BD Pvt Ltd  ,Bangalore/Bengaluru(Whitefield),"50,000 - 60,000 PA.",Only candidates who are available to work full time for a duration of at least 12 month...,0-1 Yrs,_data analytics_Machine Learning_Python_IT Skills_Java_J2EE_Data Science_Big Data,https://www.naukri.com/job-listings-software-trainees-in-data-science-data-analytics-net-java-j2ee-magicbase-royal-bd-pvt-ltd-bangalore-bengaluru-0-to-1-years-101122005602
HEOR Data Analyst Role - SAS/SQL - Life Sciences,Huquo Consulting,Noida,Not disclosed,Problem solving skills and experience constructing analytic solutions to business probl...,4-9 Yrs,_SAS_Data Visualization_Data Analytics_Analytics_SQL_Data Management_Tableau_Statistics,https://www.naukri.com/job-listings-heor-data-analyst-role-sas-sql-life-sciences-huquo-consulting-noida-4-to-9-years-301122906453
Consultant - Data Science/Machine Learning Algorithms - KPO,PYLON Management Consulting Private Limited,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",Not disclosed,"Having minimum 4+ years of experience Strong programming experience in Python / R, atle...",4-7 Yrs,_Machine Learning_Python_NLP_R_Data Science_Data Management_Operations,https://www.naukri.com/job-listings-consultant-data-science-machine-learning-algorithms-kpo-pylon-management-consulting-private-limited-pune-gurgaon-gurugram-bangalore-bengaluru-4-to-7-years-291122912328
Manager Data Science,Marriott,Pune,Not disclosed,You understand the foundations of statistics and machine learning and can work in high ...,4-7 Yrs,_CVS_Claims_Machine learning_Javascript_Agile_Oncology_Scrum_Epidemiology,https://www.naukri.com/job-listings-manager-data-science-marriott-pune-4-to-7-years-191122501038
"Data Science, NLP, Deep Learning Professional",Tech Mahindra,Pune,Not disclosed,Individuals should be able to break down business problems into smaller components and ...,5-10 Yrs,_Machine Learning_Python_Data science_skLearn_Deep Learning_keras_pytorch_pandas,https://www.naukri.com/job-listings-data-science-nlp-deep-learning-professional-tech-mahindra-ltd-pune-5-to-10-years-241122900139
SnapLogic Data Science Practitioner,Accenture,Mumbai,Not disclosed,Educational Qualification : Bachelors degree and / or relevant experience required with...,2-4 Yrs,_Consulting_JDBC_Informatica_Microsoft Dynamics_Oracle_REST_communication_SOAP,https://www.naukri.com/job-listings-snaplogic-data-science-practitioner-accenture-solutions-pvt-ltd-mumbai-2-to-4-years-221122905971
ACN - Applied Intelligence - CC - Data Science (IN) - 09,Accenture,Gurgaon/Gurugram,Not disclosed,"6 years of data science experience using statistics, machine learning, or forecasting E...",2-6 Yrs,_Consulting_Application development_Analytics_SQL_Python_Supply chain management_Version control_Machine learning,https://www.naukri.com/job-listings-acn-applied-intelligence-cc-data-science-in-09-accenture-solutions-pvt-ltd-gurgaon-gurugram-2-to-6-years-221122905918
ACN - Applied Intelligence - CC - Data Science (IN) - 07,Accenture,Gurgaon/Gurugram,Not disclosed,At least 2-3 years of experience of leading junior team members on projects using suppl...,5-10 Yrs,_Supply chain management_Consulting_Application development_SQL_Python_IT Skills_Data Science_Machine Learning,https://www.naukri.com/job-listings-acn-applied-intelligence-cc-data-science-in-07-accenture-solutions-pvt-ltd-gurgaon-gurugram-5-to-10-years-221122905924
ACN - Applied Intelligence - Finance - Data Science - 09,Accenture,Chennai,Not disclosed,Preferred Educational Background PhD / Masters / Bachelors degree in Statistics / Econo...,3-5 Yrs,_Data analysis_Machine learning_Healthcare_SDK_Analytics_Publishing_Analytical_Vulnerability assessment,https://www.naukri.com/job-listings-acn-applied-intelligence-finance-data-science-09-accenture-solutions-pvt-ltd-chennai-3-to-5-years-221122905704
ACN - Applied Intelligence - Finance - Data Science - 09,Accenture,Mumbai,Not disclosed,Preferred Educational Background PhD / Masters / Bachelors degree in Statistics / Econo...,3-5 Yrs,_Data analysis_Machine learning_Healthcare_SDK_Analytics_Publishing_Analytical_Vulnerability assessment,https://www.naukri.com/job-listings-acn-applied-intelligence-finance-data-science-09-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-221122905703
