,Job Title,Company,Location,Requirements,Years of Experience,Tags,Link
0,Senior Analyst-Data Science,Accenture,Gurgaon,Skill required: Data Science - Predictive Modeling and Analytics Designation: Senior An...,5-8 Yrs," Publishing, Consulting, Predictive modeling, Data mining, Analytics, IT Skills, Data Science, Machine Learning",https://www.naukri.com/job-listings-senior-analyst-data-science-accenture-solutions-pvt-ltd-gurgaon-gurugram-5-to-8-years-171122907232
1,Delivery Head - Analytics & Data Science,Okda Solutions,Gurgaon,"10+ years of experience in the delivery of Analytics, data science and machine learning...",8-13 Yrs," Data Science, Analytics, analytical, machine learning, communication, Sales, calling, analytical skills",https://www.naukri.com/job-listings-delivery-head-analytics-data-science-okda-solutions-gurgaon-gurugram-8-to-13-years-291122913252
2,Chief Data Science Role - Bank,Dimensions HRD Consultants,Multiple,Graduate / Post Graduate in Statistics / Economics / Engineering from premier college /...,12-16 Yrs," Data Modeling, Data Analytics, Analytics, Consulting - BFSI, Data Management, Big Data, Data Mining, Statistics",https://www.naukri.com/job-listings-chief-data-science-role-bank-dimensions-hrd-consultants-mumbai-gurgaon-gurugram-12-to-16-years-291122912158
3,Associate Vice President - Data Science - KPO,Huquo Consulting Pvt. Ltd,Gurgaon,Role & Responsibilities Overview :- Expected to work in close collaboration with the Cl...,7-12 Yrs," Data Science, Competitor analysis, Ad hoc data analysis, GLM, Data Analytics, Analytics, Python",https://www.naukri.com/job-listings-associate-vice-president-data-science-kpo-huquo-consulting-pvt-ltd-gurgaon-gurugram-7-to-12-years-291122905825
4,Data Science Professional,CliqHR Recruitment Services,Multiple,Skills Required-Required Skills:Experience of 3-8 years in Data Analytics and a mandato...,3-8 Yrs," Data Science, Ski, Data Analytics, Numpy, analytical, PowerPoint, Azure, communication",https://www.naukri.com/job-listings-data-science-professional-cliqhr-recruitment-services-mumbai-hyderabad-secunderabad-pune-chennai-delhi-ncr-3-to-8-years-291122904889
5,Data Science Lead,CliqHR Recruitment Services,Multiple,Required Experience: Minimum 5+ years of hands on experience using statistical computer...,5-10 Yrs," Data Science, analytical, R, written, data mining, verbal communication, Python, machine learning",https://www.naukri.com/job-listings-data-science-lead-cliqhr-recruitment-services-mumbai-hyderabad-secunderabad-pune-chennai-delhi-ncr-5-to-10-years-261122905540
6,Delivery Head - Analytics & Data Science,Okda Solutions,Gurgaon,"10+ years of experience in the delivery of Analytics, data science and machine learning...",8-13 Yrs," Analytics, machine learning, communication, analytical, data science, Delivery Management",https://www.naukri.com/job-listings-delivery-head-analytics-data-science-okda-solutions-gurgaon-gurugram-8-to-13-years-251122904495
7,Hiring For Senior / Lead Data Scientist - Data Science,Tiger Analytics,Permanent Remote,"A passion for writing high-quality code (Python) and the code should be modular, scalab...",5-10 Yrs," Data Science, Machine Learning, PowerPoint, SQL, Python, Excel, R, Artificial Intelligence",https://www.naukri.com/job-listings-hiring-for-senior-lead-data-scientist-data-science-tiger-analytics-chennai-5-to-10-years-291122005769
8,Data Science Lead - Forecasting,Cargill,Bangalore,"Bachelor s degree in Computer science, Statistics, Math OR related field OR Equivalent ...",5-7 Yrs," Data Science, Data analysis, Machine learning, Javascript, Workflow, Regression analysis, Forecasting, Monitoring",https://www.naukri.com/job-listings-data-science-lead-forecasting-cargill-india-pvt-ltd-bangalore-bengaluru-5-to-7-years-291122915436
9,ACN - Applied Intelligence - Finance - Data Science - 09,Accenture,Bangalore,The ideal candidate should have a strong client-facing consulting background in data sc...,3-5 Yrs," Computer science, Data analysis, Healthcare, SDK, Analytics, Publishing, Analytical, Machine learning",https://www.naukri.com/job-listings-acn-applied-intelligence-finance-data-science-09-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-251122911193
